"Adipose...Subcutaneous" "Adipose...Visceral..Omentum." "Adrenal.Gland" "Artery...Aorta" "Artery...Coronary" "Artery...Tibial" "Brain...Anterior.cingulate.cortex..BA24." "Brain...Caudate..basal.ganglia." "Brain...Cerebellar.Hemisphere" "Brain...Cerebellum" "Brain...Cortex" "Brain...Frontal.Cortex..BA9." "Brain...Hippocampus" "Brain...Hypothalamus" "Brain...Nucleus.accumbens..basal.ganglia." "Brain...Putamen..basal.ganglia." "Breast...Mammary.Tissue" "Cells...EBV.transformed.lymphocytes" "Cells...Transformed.fibroblasts" "Colon...Sigmoid" "Colon...Transverse" "Esophagus...Gastroesophageal.Junction" "Esophagus...Mucosa" "Esophagus...Muscularis" "Heart...Atrial.Appendage" "Heart...Left.Ventricle" "Liver" "Lung" "Muscle...Skeletal" "Nerve...Tibial" "Ovary" "Pancreas" "Pituitary" "Prostate" "Skin...Not.Sun.Exposed..Suprapubic." "Skin...Sun.Exposed..Lower.leg." "Small.Intestine...Terminal.Ileum" "Spleen" "Stomach" "Testis" "Thyroid" "Uterus" "Vagina" "Whole.Blood"
"ENSG00000078808" 7218.47714285714 7141.52863436123 8112.10344827586 10870.96875 9233.38345864662 7318.6265060241 3814.54761904762 3489.25641025641 9037.65714285714 9090.824 4668.20175438596 4121.59259259259 3193.64893617021 3891.4375 3726.20353982301 3395.31958762887 7225.04205607477 5827.38983050847 13592.676056338 6312.84563758389 8376.39285714286 6348.38562091503 5001.42307692308 6533.32793522267 8154.92783505155 5698.14220183486 7604.81512605042 7536.084375 3577.59069767442 6383.26644736842 7440.60824742268 5066.08187134503 7772.20388349515 7249.59433962264 5911.524 5950.09523809524 8612.94318181818 7315.46153846154 6252.26424870466 8558.58139534884 7724.18575851393 7571.30120481928 6270.54166666667 3894.14503816794
"ENSG00000078900" 47.2342857142857 42.352422907489 56.9862068965517 52.2366071428571 61.0300751879699 46.144578313253 99.4404761904762 187.692307692308 1653.07619047619 1570.192 110.850877192982 88 251.223404255319 272.333333333333 136.938053097345 109.298969072165 256.046728971963 2634.39830508475 30.4929577464789 79.6375838926175 61.7040816326531 70.1960784313726 830.339160839161 71.1983805668016 40.2216494845361 36.4816513761468 58.2268907563025 281.278125 42.2046511627907 90.5723684210526 102.268041237113 64.2923976608187 160.834951456311 811.150943396226 977.98 1062.98879551821 86.3295454545455 232.355769230769 57.8238341968912 314.116279069767 137.411764705882 85.9638554216867 688.760416666667 35.4554707379135
"ENSG00000080947" 444.454285714286 410.511013215859 606.393103448276 814.15625 710.398496240602 637.490963855422 726.154761904762 871.675213675214 4388.90476190476 4152.504 984.868421052632 766.027777777778 585 833.125 1008.43362831858 646.701030927835 537.682242990654 211.35593220339 308.397887323944 900.268456375839 441.852040816327 731.183006535948 313.496503496504 693.364372469636 312.324742268041 245.422018348624 129.420168067227 555.15625 128.160465116279 1165.63815789474 1669.92783505155 324.549707602339 1816.83495145631 1031.79245283019 376.044 377.042016806723 508.397727272727 760.682692307692 432.932642487047 646.831395348837 1062.5572755418 1361.72289156627 815.385416666667 152.93893129771
"ENSG00000083444" 5554.23428571429 6823.07488986784 4906.44827586207 7893.50892857143 7350.25563909774 4243.34036144578 2348.86904761905 2906.81196581197 1419.25714285714 1442.984 2337.91228070175 2438.74074074074 2319.57446808511 3446.42708333333 2527.47787610619 2940.53608247423 5545.44392523365 4795.44915254237 20765.3908450704 5962.75167785235 3831.55102040816 5933.35947712418 2369.32867132867 6256.08097165992 5579.30927835052 5205.33944954128 5963.50420168067 6004.078125 2523.2976744186 5770.0427631579 6531.07216494845 2808.7134502924 3977.63106796117 4481.41509433962 3174.788 3069.42296918767 3419.43181818182 4161.36538461538 3638.51295336788 1918.51162790698 4984.63157894737 7877.04819277108 4864.77083333333 4232.62595419847
"ENSG00000097021" 695.714285714286 604.453744493392 921.875862068965 1446.48660714286 1175.86466165414 1091.9578313253 6773.52380952381 3360.38461538462 4625.26666666667 4280.472 8346.82456140351 8675.37037037037 4236.60638297872 8232.59375 4846.66371681416 3146.78350515464 634.018691588785 3604.83050847458 2249.84507042254 1574.1744966443 1836.62755102041 1209.19607843137 1741.73776223776 1279.07287449393 497.932989690722 617.279816513761 673.899159663866 1141.396875 177.997674418605 1268.23684210526 651.453608247423 312.982456140351 4642.64077669903 771.556603773585 1431.46 1212.32492997199 1951.21590909091 1166.80769230769 915.564766839378 4740.79069767442 400.789473684211 995.289156626506 1232.08333333333 288.450381679389
"ENSG00000107404" 2336.92 2168.45374449339 3055.64827586207 2477.82142857143 2604.53383458647 2476.47590361446 4911.46428571429 3084.82905982906 3629.4380952381 3680.56 5071.82456140351 4491.73148148148 3681.1170212766 2970.35416666667 3619.30088495575 2748.67010309278 2500.14485981308 1273.4406779661 2549.76056338028 3306.31543624161 2735.12244897959 2967.19607843137 3797.78321678322 3273.05263157895 2173.56701030928 3060.2752293578 1706.66386554622 2583.39375 8165.32790697674 4151.20065789474 2900.9793814433 2513.58479532164 3408.43689320388 2709.65094339623 3199.724 3159.44817927171 2271.22727272727 1760.02884615385 2811.49740932642 5570.68604651163 2840.56037151703 3359.36144578313 3098 548.24427480916
"ENSG00000116138" 1053.44285714286 1055.13215859031 1350.4 761.589285714286 972.210526315789 739.620481927711 1257.59523809524 1185.91452991453 1542.11428571429 1207.04 1216.35964912281 1607.58333333333 957.68085106383 1199.07291666667 1236.81415929204 973.144329896907 1228.78971962617 1667.16949152542 1823.29577464789 1083.29530201342 1388.70408163265 998.56862745098 1246.42307692308 1034.48987854251 815.432989690722 883.288990825688 1397.17647058824 1150.784375 1348.86744186047 1202.45065789474 1516.58762886598 930.251461988304 1467.01941747573 1376.92452830189 1043.684 1040.56862745098 1465.75 1296.38461538462 913.79792746114 1711.68604651163 1700.5386996904 1496.26506024096 1193.92708333333 369.791348600509
"ENSG00000116151" 192.328571428571 199.105726872247 191.296551724138 172.147321428571 184.12030075188 163.319277108434 310.130952380952 391.803418803419 2593.80952380952 2337.48 421.90350877193 385 229.787234042553 346.40625 437 276.453608247423 388.976635514019 181.220338983051 152.024647887324 262.93288590604 218.729591836735 238.071895424837 185.423076923077 231.927125506073 108.144329896907 69.6651376146789 142.428571428571 328.80625 106.718604651163 559.796052631579 891.762886597938 170.426900584795 756.961165048544 464.490566037736 216.776 216.563025210084 203.215909090909 143.711538461538 174.39378238342 1557.04651162791 1146.173374613 668.987951807229 330.145833333333 38
"ENSG00000116198" 1771.78571428571 1671.69162995595 2456.85517241379 1946.98660714286 2267.48872180451 2760.93975903614 1433.96428571429 1732.62393162393 2192.66666666667 1916.912 1450 1548.56481481481 1761.15957446809 1864.07291666667 1654.19469026549 1744.10309278351 1724.26635514019 2307.49152542373 1764.91197183099 2069.84563758389 1733.00510204082 2232.48366013072 1615.3951048951 2653.13360323887 1136.65463917526 1118.80275229358 1231.48739495798 1710.934375 1446.93488372093 2023.30921052632 1770.09278350515 1237.4269005848 2279.98058252427 1793.01886792453 1593.016 1583.3081232493 1679.94318181818 1507.00961538462 1485.55958549223 3304.9011627907 1923.25386996904 2015.72289156627 1601.875 567.704834605598
"ENSG00000116213" 1011.86 887.506607929515 1031.3724137931 852.53125 985.744360902256 769.677710843373 683.107142857143 720.34188034188 1629.41904761905 1543.376 868.859649122807 791.546296296296 624.510638297872 747.864583333333 729.87610619469 663.144329896907 1030.27570093458 1990.42372881356 999.602112676056 1030.24832214765 1055.30102040816 981.045751633987 986.258741258741 1028.74898785425 610.412371134021 574.04128440367 527.613445378151 1090.640625 609.132558139535 1118.67105263158 987.711340206186 741.380116959064 1436.07766990291 1078.19811320755 855.244 872.042016806723 1406.39772727273 1656.47115384615 921.585492227979 1538.21511627907 1143.61919504644 1165.6265060241 936.239583333333 908.325699745547
